rank;french;engl;example_french;example_engl
112;heure;hour;;
113;région;region;;
114;déclarer;to announce;;
115;quand;When;;
116;lieu;place;;
117;me;me;;
118;rendre;give back;;
119;saison;season;;
120;son;her;;
121;femme;women;;
122;donner;give;;
123;votre;your;;
124;seul;alone;;
125;connaître;to know;;
126;beaucoup;a lot;;
127;centre;center;;
128;côté;side;;
129;partie;part;;
130;devenir;become;;
131;moment;moment;;
132;cas;case;;
133;non;No;;
134;joueur;player;;
135;expliquer;explain;;
136;début;beginning;;
137;social;social;;
138;prix;price;;
139;prochain;next;;
140;général;general;;
141;nombreux;many;;
142;question;question;;
143;droit;right;;
144;lancer;throw;;
145;compte;account;;
146;reste;stay;;
147;chez;at the house of;;
148;situation;situation;;
149;américain;American;;
150;chaque;each;;
151;enfant;child;;
152;jamais;Never;;
153;devant;in front;;
154;important;important;;
155;quatre;four;;
156;film;movie;;
157;car;because;;
158;cours;course;;
159;retrouver;find;;
160;lundi;Monday;;
161;niveau;level;;
162;jeudi;THURSDAY;;
163;sécurité;security;;
164;pendant;during;;
165;chef;chief;;
166;famille;family;;
167;vendredi;Friday;;
168;meilleur;best;;
169;dimanche;Sunday;;
170;mardi;Tuesday;;
171;jouer;play;;
172;paris;Paris;;
173;homme;man;;
174;chose;thing;;
175;européen;European;;
176;but;aim;;
177;long;long;;
178;aucun;none;;
179;revenir;to come back;;
180;ajouter;add;;
181;prévoir;to expect;;
182;près;close;;
183;suite;following;;
184;rester;stay;;
185;international;international;;
186;effet;effect;;
187;mercredi;Wednesday;;
188;tenir;hold;;
189;tour;round;;
190;suivre;follow;;
191;souligner;emphasize;;
192;équipe;team;;
193;raison;reason;;
194;samedi;SATURDAY;;
195;attendre;to wait for;;
196;deuxième;second;;
197;là;there;;
198;part;leaves;;
199;porter;to carry;;
200;offrir;to offer;;
201;coup;cut;;
202;police;police;;
203;mesure;measure;;
204;sortir;to go out;;
205;maison;House;;
206;rien;Nothing;;
207;force;strength;;
208;produit;product;;
209;tel;such;;
210;membre;member;;
211;concerner;concern;;
212;mort;dead;;
213;penser;think;;
214;proposer;to propose;;
215;continuer;continue;;
216;fort;strong;;
217;parler;talk;;
218;décision;decision;;
219;préciser;to specify;;
220;présenter;to present;;
221;local;local;;
222;société;Company;;
223;club;club;;
224;guerre;war;;
225;affirmer;affirm;;
226;arriver;arrive;;
227;tête;head;;
228;mise;putting;;
229;moyen;AVERAGE;;
230;rapport;report;;
231;afin;in order to;;
232;soir;evening;;
233;recevoir;receive;;
234;cinq;five;;
235;poursuivre;pursue;;
236;assurer;ensure;;
237;lequel;which;;
238;viser;aim;;
239;série;series;;
240;travailler;to work;;
241;différent;different;;
242;octobre;october;;
243;dès;of the;;
244;réseau;network;;
245;demande;request;;
246;marché;walk;;
247;avec;with;;
248;créer;create;;
249;zone;area;;
250;affaire;affair;;
251;juin;June;;
252;indiquer;indicate;;
253;durer;last;;
254;sembler;seem;;
255;mondial;global;;
256;mener;carry out;;
257;final;final;;
258;secteur;sector;;
259;titre;title;;
260;rencontre;encounter;;
261;présent;here;;
262;victime;victim;;
263;demander;ask;;
264;nombre;number;;
265;tant;so much;;
266;besoin;need;;
267;ligne;line;;
268;commencer;to start;;
269;réaliser;realize;;
270;parce;because;;
271;israélien;Israeli;;
272;victoire;victory;;
273;cadre;frame;;
274;perdre;lose;;
275;site;site;;
276;journée;daytime;;
277;grâce;grace;;
278;trop;too much;;
279;désormais;From now on;;
280;haut;high;;
281;retour;back;;
282;vivre;live;;
283;janvier;January;;
284;état;state;;
285;développement;development;;
286;appeler;to call;;
287;loi;law;;
288;plan;plan;;
289;santé;health;;
290;malgré;despite;;
291;problème;issue;;
292;période;period;;
293;résultat;result;;
294;seulement;only;;
295;donald;donald;;
296;surtout;Above all;;
297;rappeler;remind;;
298;novembre;november;;
299;septembre;september;;
300;ministère;ministry;;
301;minute;minute;;
302;marquer;mark;;
303;mars;March;;
304;russe;Russian;;
305;autorité;authority;;
306;population;population;;
307;décembre;December;;
308;candidat;candidate;;
309;programme;program;;
310;euro;euro;;
311;possible;possible;;
312;souvent;often;;
313;gens;people;;
314;laisser;to leave;;
315;soutenir;sustain;;
316;entreprise;business;;
317;utiliser;to use;;
318;moi;Me;;
319;par;by;;
320;juillet;July;;
321;répondre;answer;;
322;économique;economic;;
323;sud;south;;
324;parmi;among;;
325;gagner;earn;;
326;mieux;better;;
327;nom;name;;
328;décider;decide;;
329;directeur;director;;
330;six;six;;
331;milliard;billion;;
332;atteindre;reach;;
333;risque;risk;;
334;système;system;;
335;sur;on;;
336;cour;court;;
337;république;republic;;
338;troisième;third;;
339;rue;Street;;
340;élection;election;;
341;terme;term;;
342;militaire;military;;
343;formation;training;;
344;communiqué;press release;;
345;ensuite;Next;;
346;rôle;role;;
347;cause;cause;;
348;février;FEBRUARY;;
349;mai;may;;
350;route;road;;
351;responsable;responsible;;
352;gaza;gaza;;
353;vraiment;Really;;
354;comprendre;to understand;;
355;confirmer;confirm;;
356;scène;scene;;
357;souhaiter;to wish;;
358;principal;main;;
359;obtenir;get;;
360;matin;Morning;;
361;main;hand;;
362;représenter;represent;;
363;montrer;to show;;
364;soutien;support;;
365;manière;manner;;
366;liste;list;;
367;justice;justice;;
368;suisse;Swiss;;
369;terrain;ground;;
370;presse;press;;
371;direction;direction;;
372;défense;defense;;
373;toutefois;however;;
374;campagne;campaign;;
375;belgique;Belgium;;
376;nord;north;;
377;véhicule;vehicle;;
378;sein;breast;;
379;prise;socket;;
380;organiser;organize;;
381;difficile;difficult;;
382;changer;to change;;
383;porte;door;;
384;député;deputy;;
385;vue;view;;
386;coupe;cut;;
387;avril;april;;
388;condition;condition;;
389;second;second;;
390;total;total;;
391;juste;just;;
392;plein;full;;
393;côte;side;;
394;the;tea;;
395;kilomètre;kilometer;;
396;loin;far;;
397;mal;wrong;;
398;réussir;succeed;;
399;ouvert;open;;
400;ni;neither;;
401;cependant;However;;
402;communauté;community;;
403;bruxelle;Brussels;;
404;ancien;ancient;;
405;exemple;example;;
406;nuit;night;;
407;trump;trump;;
408;belge;Belgian;;
409;choix;choice;;
410;renforcer;to strenghten;;
411;bel;beautiful;;
412;qualité;quality;;
413;succès;success;;
414;ici;here;;
415;dollar;dollar;;
416;découvrir;discover;;
417;israël;Israel;;
418;août;august;;
419;tard;late;;
420;publier;publish;;
421;activité;activity;;
422;financier;financial;;
423;capital;capital;;
424;maroc;Morocco;;
425;production;production;;
426;ligue;league;;
427;remettre;to put back;;
428;source;source;;
429;vidéo;video;;
430;voiture;car;;
431;autour;around;;
432;terminer;to end;;
433;new;new;;
434;commune;common;;
435;travers;through;;
436;commission;commission;;
437;média;media;;
438;personnel;staff;;
439;ailleurs;elsewhere;;
440;an;year;;
441;citoyen;citizen;;
442;remporter;win;;
443;comme;as;;
444;majorité;majority;;
445;sortie;exit;;
446;situer;locate;;
447;toucher;to touch;;
448;course;race;;
449;reconnaître;recognize;;
450;sujet;subject;;
451;poste;job;;
452;base;base;;
453;proche;close;;
454;québec;Quebec;;
455;banque;bank;;
456;dossier;case;;
457;russie;Russia;;
458;quant;as to;;
459;départ;departure;;
460;plutôt;instead;;
461;participer;participate;;
462;changement;change;;
463;entendre;hear;;
464;croire;believe;;
465;mouvement;movement;;
466;étranger;stranger;;
467;environ;approximately;;
468;fédéral;federal;;
469;charge;charge;;
470;feu;fire;;
471;peine;penalty;;
472;lier;bind;;
473;recherche;research;;
474;valeur;value;;
475;relation;relationship;;
476;gros;fat;;
477;tenter;to attempt;;
478;professionnel;professional;;
479;tribunal;court;;
480;pourtant;Yet;;
481;maintenant;NOW;;
482;solution;solution;;
483;reprendre;to resume;;
484;droite;RIGHT;;
485;civil;civil;;
486;taux;rate;;
487;enfin;Finally;;
488;olympique;Olympic;;
489;parfois;Sometimes;;
490;rapidement;quickly;;
491;arrêter;Stop;;
492;sport;sport;;
493;action;action;;
494;objectif;objective;;
495;profiter;enjoy;;
496;engager;engage;;
497;chambre;bedroom;;
498;fait;do;;
499;événement;event;;
500;propre;own;;
501;violence;violence;;
502;sept;seven;;
503;date;date;;
504;voix;voice;;
505;position;position;;
506;fonction;function;;
507;choisir;choose;;
508;territoir;territory;;
509;commun;common;;
510;tuer;kill;;
511;festival;festival;;
512;finalement;Ultimately;;
513;forme;shape;;
514;acteur;actor;;
515;particulier;particular;;
516;gauche;LEFT;;
517;salle;room;;
518;stade;stadium;;
519;carrière;career;;
520;terre;earth;;
521;crise;crisis;;
522;prêt;ready;;
523;sens;sense;;
524;autant;as much;;
525;assez;enough;;
526;information;information;;
527;nécessaire;necessary;;
528;quartier;neighborhood;;
529;plus;more;;
530;édition;edition;;
531;payer;pay;;
532;palestinien;Palestinian;;
533;corps;body;;
534;chiffre;figure;;
535;train;train;;
536;présence;presence;;
537;accueillir;to welcome;;
538;lorsque;when;;
539;canada;Canada;;
540;augmenter;increase;;
541;actuel;current;;
542;françois;francis;;
543;emmanuel;Emmanuel;;
544;fille;girl;;
545;milieu;medium;;
546;cœur;heart;;
547;œuvre;artwork;;
548;prison;prison;;
549;comment;how;;
550;opération;operation;;
551;bureau;desk;;
552;auprès;with;;
553;considérer;consider;;
554;battre;beat;;
555;quitter;to leave;;
556;vente;sale;;
557;client;customer;;
558;mission;assignment;;
559;accuser;accuse;;
560;contrôle;control;;
561;parlement;parliament;;
562;matière;matter;;
563;vrai;TRUE;;
564;régional;regional;;
565;espérer;hope;;
566;simple;simple;;
567;compter;count;;
568;hausse;increase;;
569;estimer;estimate;;
570;servir;serve;;
571;actuellement;Currently;;
572;attaque;attack;;
573;quoi;What;;
574;livre;book;;
575;parti;party;;
576;marqu;mark;;
577;compagnie;company;;
578;quel;what;;
579;champion;champion;;
580;futur;future;;
581;canadien;canadian;;
582;appel;call;;
583;officiel;official;;
584;évoquer;evoke;;
585;histoire;history;;
586;visite;visit;;
587;signer;sign;;
588;partager;share;;
589;journaliste;journalist;;
590;développer;develop;;
591;façon;way;;
592;dénoncer;denounce;;
593;révéler;reveal;;
594;central;central;;
595;capacité;ability;;
596;bande;band;;
597;priver;deprive;;
598;gestion;management;;
599;pierre;rock;;
600;relever;raise;;
601;communal;municipal;;
602;rouge;red;;
603;précédent;previous;;
604;rapporter;report;;
605;derrière;behind;;
606;culture;culture;;
607;présidentiel;presidential;;
608;pied;foot;;
609;placer;place;;
610;dix;ten;;
611;combat;fight;;
612;vote;vote;;
613;joe;joe;;
614;plateforme;platform;;
615;algérien;Algerian;;
616;réduire;reduce;;
617;football;soccer;;
618;écrire;to write;;
619;chacun;each;;
620;image;picture;;
621;accord;agreement;;
622;sûr;on;;
623;domaine;domain;;
624;transport;transportation;;
625;hamas;hamas;;
626;dérouler;unfold;;
627;tandis;while;;
628;élevé;pupil;;
629;doute;doubt;;
630;confier;entrust;;
631;technique;technical;;
632;tomber;to fall;;
633;province;province;;
634;deux;two;;
635;village;village;;
636;indique;noted;;
637;chance;chance;;
638;aider;help;;
639;conclure;conclude;;
640;préparer;prepare;;
641;donnée;given;;
642;conseiller;advise;;
643;majeur;major;;
644;exprimer;express;;
645;budget;budget;;
646;particulièrement;particularly;;
647;van;van;;
648;championnat;championship;;
649;logement;accommodation;;
650;effectuer;perform;;
651;conférence;conference;;
652;réponse;answer;;
653;tu;you;;
654;voie;way;;
655;éviter;avoid;;
656;parent;parent;;
657;africain;African;;
658;enquête;investigation;;
659;lutte;struggle;;
660;davantage;any further;;
661;apporter;bring;;
662;rejoindre;join;;
663;sportif;sporty;;
664;michel;michel;;
665;apprendre;learn;;
666;constater;notice;;
667;lien;link;;
668;condamner;condemn;;
669;compétition;competition;;
670;comité;committee;;
671;genre;gender;;
672;pratique;practical;;
673;manqu;missing;;
674;peuple;people;;
675;chercher;seek;;
676;occuper;occupy;;
677;personnage;character;;
678;habitant;inhabitant;;
679;constituer;constitute;;
680;reprise;recovery;;
681;ensemble;together;;
682;âgé;age;;
683;expérience;experience;;
684;promettre;promise;;
685;message;message;;
686;réunion;meeting;;
687;finir;finish;;
688;représentant;representative;;
689;fédération;federation;;
690;bénéficier;benefit;;
691;critique;critical;;
692;passage;passage;;
693;pèr;father;;
694;qualifier;qualify;;
695;photo;photo;;
696;parc;park;;
697;macron;macron;;
698;bâtiment;building;;
699;mauvais;bad;;
700;vol;flight;;
701;quotidien;daily;;
702;rencontrer;meet;;
703;création;creation;;
704;modèle;model;;
705;performance;performance;;
706;envoyer;send;;
707;réalité;reality;;
708;david;David;;
709;tir;shot;;
710;soirée;evening;;
711;étape;stage;;
712;mère;mother;;
713;al;al;;
714;construction;construction;;
715;étudiant;student;;
716;contribuer;contribute;;
717;policier;policeman;;
718;conflit;conflict;;
719;transition;transition;;
720;ouvrir;open;;
721;coût;cost;;
722;fête;party;;
723;tirer;to pull;;
724;protéger;protect;;
725;figurer;figure;;
726;vendre;sell;;
727;monter;to go up;;
728;confiance;trust;;
729;longtemps;a long time;;
730;musique;music;;
731;ukrainien;Ukrainian;;
732;juge;judge;;
733;mètre;meter;;
734;outre;besides;;
735;carte;map;;
736;contrat;CONTRACT;;
737;disponible;available;;
738;humain;human;;
739;défendre;defend;;
740;pourquoi;Why;;
741;fonds;funds;;
742;presque;almost;;
743;baisse;drop;;
744;refuser;refuse;;
745;frappe;struck;;
746;estime;estimated;;
747;blesser;hurt;;
748;électoral;electoral;;
749;garde;guard;;
750;texte;text;;
751;chine;China;;
752;poser;to set down;;
753;mot;word;;
754;inscrire;register;;
755;donne;given;;
756;tôt;early;;
757;accompagner;to accompany;;
758;débat;debate;;
759;front;forehead;;
760;maire;mayor;;
761;contexte;context;;
762;liberté;freedom;;
763;mandat;mandate;;
764;pression;pressure;;
765;effort;effort;;
766;protection;protection;;
767;fils;son;;
768;populaire;popular;;
769;disposer;dispose;;
770;huit;eight;;
771;via;via;;
772;compris;Understood;;
773;parquet;parquet;;
774;historique;historical;;
775;ami;friend;;
776;difficulté;difficulty;;
777;dizaine;ten;;
778;respecter;respect;;
779;rentrer;to return;;
780;siège;seat;;
781;prévenir;prevent;;
782;marocain;Moroccan;;
783;menace;threat;;
784;dirigeant;leader;;
785;cinéma;movie theater;;
786;clair;clear;;
787;afrique;Africa;;
788;véritable;true;;
789;charger;load;;
790;type;kind;;
791;fournir;provide;;
792;subir;undergo;;
793;bas;down;;
794;sentir;feel;;
795;judiciaire;judicial;;
796;installer;install;;
797;exister;exist;;
798;noir;black;;
799;frontière;border;;
800;cérémonie;ceremony;;
801;diriger;direct;;
802;burkina;burkina;;
803;star;star;;
804;maladie;disease;;
805;blanc;white;;
806;école;school;;
807;voter;vote;;
808;parvenir;achieve;;
809;récemment;recently;;
810;intervenir;to intervene;;
811;déclaration;statement;;
812;note;note;;
813;initiative;initiative;;
814;étude;study;;
815;soin;care;;
816;imposer;impose;;
817;déposer;deposit;;
818;propos;about;;
819;voyage;journey;;
820;paix;peace;;
821;court;short;;
822;aérien;air;;
823;défaire;undo;;
824;week;week;;
825;élément;element;;
826;preuve;evidence;;
827;neuf;nine;;
828;aimer;to like;;
829;processus;process;;
830;montre;watch;;
831;dépasser;exceed;;
832;juger;judge;;
833;enregistrer;save;;
834;record;record;;
835;conséquence;consequence;;
836;maintenir;maintain;;
837;camp;camp;;
838;fan;fan;;
839;commerce;trade;;
840;aide;help;;
841;parcours;course;;
842;réunir;bring together;;
843;sol;ground;;
844;supplémentaire;additional;;
845;vite;quickly;;
846;bout;end;;
847;direct;direct;;
848;nations;nations;;
849;croissance;growth;;
850;ressource;resource;;
851;naître;to be born;;
852;puisque;since;;
853;essentiel;essential;;
854;paul;paul;;
855;culturel;cultural;;
856;provoquer;to provoke;;
857;divers;miscellaneous;;
858;montant;Rising;;
859;bruxellois;Brussels;;
860;lumière;light;;
861;libre;free;;
862;souvenir;memory;;
863;améliorer;improve;;
864;centaine;hundred;;
865;chemin;path;;
866;récent;recent;;
867;volonté;will;;
868;manquer;miss;;
869;large;wide;;
870;rassemblement;gathering;;
871;spectacle;show;;
872;regarder;look;;
873;construire;build;;
874;impliquer;involve;;
875;tournoi;tournament;;
876;agent;agent;;
877;former;form;;
878;grave;severe;;
879;propriétaire;owner;;
880;élève;pupil;;
881;vert;Green;;
882;numérique;digital;;
883;gérer;manage;;
884;pièce;piece;;
885;syndicat;union;;
886;chaîne;chain;;
887;département;department;;
888;débuter;start;;
889;secrétaire;secretary;;
890;climatique;climatic;;
891;version;version;;
892;adopter;adopt;;
893;stratégie;strategy;;
894;spécial;special;;
895;nature;nature;;
896;nommer;appoint;;
897;acte;act;;
898;engagement;commitment;;
899;party;party;;
900;artiste;artist;;
901;voisin;neighbor;;
902;sommet;summit;;
903;dévoiler;reveal;;
904;préférer;prefer;;
905;électrique;electric;;
906;réforme;reform;;
907;classement;ranking;;
908;idée;idea;;
909;millier;thousand;;
910;blessure;injury;;
911;en;in;;
912;unique;unique;;
913;classe;class;;
914;ps;p.s.;;
915;vladimir;vladimir;;
916;communication;communication;;
917;accepter;accept;;
918;technologie;technology;;
919;noter;note;;
920;établir;establish;;
921;oui;Yes;;
922;responsabilité;responsibility;;
923;discussion;discussion;;
924;roi;king;;
925;quart;quarter;;
926;essayer;to try;;
927;positif;positive;;
928;bilan;balance sheet;;
929;possibilité;possibility;;
930;mr;mr;;
931;phase;phase;;
932;réagir;react;;
933;proposition;proposal;;
934;frapper;hit;;
935;régime;diet;;
936;couleur;color;;
937;organisation;organization;;
938;bord;edge;;
939;cher;Dear;;
940;scolaire;school;;
941;produire;produce;;
942;oeil;eye;;
943;arme;armed;;
944;garantir;ensure;;
945;fond;bottom;;
946;entraîner;train;;
947;britannique;British;;
948;défaite;defeat;;
949;double;double;;
950;chinois;Chinese;;
951;procès;trial;;
952;leader;leader;;
953;frère;brother;;
954;naturel;natural;;
955;discours;speech;;
956;supérieur;superior;;
957;espace;space;;
958;perte;loss;;
959;composer;compose;;
960;animal;animal;;
961;durable;sustainable;;
962;commercial;commercial;;
963;mme;mrs;;
964;génération;generation;;
965;procédure;procedure;;
966;pas;not;;
967;garder;keep;;
968;médecin;doctor;;
969;négociation;negotiation;;
970;or;gold;;
971;saisir;to input;;
972;valoir;to be worth;;
973;avion;plane;;
974;quatrième;fourth;;
975;collaboration;collaboration;;
976;palais;palace;;
977;mer;sea;;
978;mode;fashion;;
979;biden;biden;;
980;pousser;push;;
981;participation;participation;;
982;allemand;German;;
983;plupart;most;;
984;terroriste;terrorist;;
985;financement;funding;;
986;sexuel;sexual;;
987;simplement;simply;;
988;déterminer;determine;;
989;transformer;transform;;
990;rapide;fast;;
991;circulation;traffic;;
992;travailleur;worker;;
993;conduire;to drive;;
994;bourgmestre;mayor;;
995;potentiel;potential;;
996;manifestation;demonstration;;
997;détail;detail;;
998;air;air;;
999;finance;finance;;
1000;journal;newspaper;;
1001;commettre;commit;;
1002;avocat;lawyer;;
1003;tourner;turn;;
1004;jean;Jeans;;
1005;échange;exchange;;
1006;montréal;Montreal;;
1007;dur;hard;;
1008;coopération;cooperation;;
1009;insister;insist;;
1010;code;code;;
1011;suspect;suspicious;;
1012;physique;physical;;
1013;pluie;rain;;
1014;remplacer;replace;;
1015;gardien;guardian;;
1016;médaille;medal;;
1017;plainte;complaint;;
1018;peur;fear;;
1019;évidemment;obviously;;
1020;el;el;;
1021;eau;water;;
1022;faveur;favor;;
1023;tension;tension;;
1024;franc;franc;;
1025;susciter;arouse;;
1026;sorte;sort;;
1027;tendance;tendency;;
1028;directement;directly;;
1029;philippe;philippe;;
1030;diffuser;broadcast;;
1031;médical;medical;;
1032;complet;complete;;
1033;sénégal;Senegal;;
1034;table;table;;
1035;fermer;close;;
1036;hauteur;height;;
1037;frais;costs;;
1038;élire;elect;;
1039;traverser;to cross;;
1040;retirer;withdraw;;
1041;courant;fluent;;
1042;lire;read;;
1043;europe;Europe;;
1044;charles;Charles;;
1045;tentative;attempt;;
1046;agricole;agricultural;;
1047;langue;language;;
1048;décéder;die;;
1049;suffire;suffice;;
1050;défi;challenge;;
1051;soldat;soldier;;
1052;balle;ball;;
1053;of;of;;
1054;témoigner;testify;;
1055;partenariat;partnership;;
1056;interdire;to forbid;;
1057;supporter;support;;
1058;institution;institution;;
1059;déplacer;move;;
1060;théâtre;theater;;
1061;saluer;greet;;
1062;gabriel;gabriel;;
1063;partenaire;partner;;
1064;occasion;occasion;;
1065;royaume;kingdom;;
1066;célèbre;famous;;
1067;blessé;hurt;;
1068;intérêt;interest;;
1069;stratégique;strategic;;
1070;accorder;to agree;;
1071;tenue;outfit;;
1072;survenir;occur;;
1073;observer;observe;;
1074;réel;real;;
1075;alimentaire;eating;;
1076;document;document;;
1077;cesser;cease;;
1078;domicil;home;;
1079;contenir;contain;;
1080;rang;rank;;
1081;racont;tell;;
1082;jo;jo;;
1083;hors;out;;
1084;thomas;thomas;;
1085;largement;widely;;
1086;investissement;investment;;
1087;séance;session;;
1088;score;score;;
1089;nation;nation;;
1090;disputer;argue;;
1091;convaincre;convince;;
1092;pompier;firefighter;;
1093;envers;towards;;
1094;trafic;traffic;;
1095;vision;vision;;
1096;piste;track;;
1097;joue;plays;;
1098;endroit;place;;
1099;rare;rare;;
1100;évoluer;evolve;;
1101;fil;thread;;
1102;augmentation;increase;;
1103;association;association;;
1104;réalisateur;director;;
1105;cité;quoted;;
1106;marc;mark;;
1107;ton;your;;
1108;législatif;legislative;;
1109;durée;duration;;
1110;républicain;republican;;
1111;faible;weak;;
1112;chanteur;singer;;
1113;attirer;attract;;
1114;couple;couple;;
1115;numéro;number;;
1116;beau;beautiful;;
1117;signe;sign;;
1118;complexe;complex;;
1119;faux;fake;;
1120;souffrir;suffer;;
1121;décès;death;;
1122;consommation;consumption;;
1123;wallon;Walloon;;
1124;pro;pro;;
1125;red;red;;
1126;chantier;construction site;;
1127;lourd;heavy;;
1128;limite;limit;;
1129;annuel;annual;;
1130;capable;able;;
1131;jeunesse;youth;;
1132;crucial;crucial;;
1133;port;port;;
1134;priorité;priority;;
1135;traitement;treatment;;
1136;fixer;fix;;
1137;visiteur;visitor;;
1138;structure;structure;;
1139;siècle;century;;
1140;oublier;forget;;
1141;algérie;Algeria;;
1142;surprise;surprise;;
1143;kamala;kamala;;
1144;respect;respect;;
1145;libéral;liberal;;
1146;agriculteur;farmer;;
1147;température;temperature;;
1148;facile;easy;;
1149;super;great;;
1150;patient;patient;;
1151;partout;everywhere;;
1152;nicolas;nicholas;;
1153;catégorie;category;;
1154;expert;expert;;
1155;auteur;author;;
1156;consacrer;dedicate;;
1157;traiter;to treat;;
1158;principe;principle;;
1159;contact;contact;;
1160;concert;concert;;
1161;impact;impact;;
1162;accident;accident;;
1163;exceptionnel;exceptional;;
1164;luxembourg;luxembourg;;
1165;cible;target;;
1166;dialogue;dialogue;;
1167;apparaître;appear;;
1168;administratif;administrative;;
1169;ferme;farm;;
1170;danger;hazard;;
1171;station;station;;
1172;sélection;selection;;
1173;collectif;collective;;
1174;gabon;Gabon;;
1175;destiner;destin;;
1176;chute;fall;;
1177;établissement;establishment;;
1178;géant;giant;;
1179;gaz;gas;;
1180;vieux;old;;
1181;crime;crime;;
1182;seconde;second;;
1183;acheter;buy;;
1184;collège;college;;
1185;entier;entire;;
1186;concentrer;focus;;
1187;présidence;presidency;;
1188;retraite;retirement;;
1189;procureur;prosecutor;;
1190;salaire;salary;;
1191;francophone;French speaking;;
1192;remonter;go back up;;
1193;sauf;except;;
1194;socialiste;socialist;;
1195;marine;navy;;
1196;article;article;;
1197;poutine;poutine;;
1198;moitié;half;;
1199;infrastructure;infrastructure;;
1200;voici;here is;;
1201;monsieur;Sir;;
1202;compétence;skill;;
1203;royal;royal;;
1204;municipal;municipal;;
1205;fonctionner;function;;
1206;lancement;launch;;
1207;différence;difference;;
1208;occidental;western;;
1209;promotion;promotion;;
1210;élu;elected;;
1211;york;york;;
1212;science;science;;
1213;mali;Mali;;
1214;manche;sleeve;;
1215;page;page;;
1216;patron;boss;;
1217;retenir;retain;;
1218;revanche;revenge;;
1219;néanmoins;nevertheless;;
1220;olivier;olive;;
1221;coûter;cost;;
1222;opposer;oppose;;
1223;parole;speech;;
1224;voire;even;;
1225;prononcer;pronounce;;
1226;liban;Lebanon;;
1227;envie;envy;;
1228;disparaître;disappear;;
1229;john;john;;
1230;puissance;power;;
1231;prime;prime;;
1232;récupérer;to recover;;
1233;opportunité;opportunity;;
1234;vitesse;speed;;
1235;déplacement;shift;;
1236;rêve;dream;;
1237;producteur;producer;;
1238;vincent;Vincent;;
1239;régulièrement;regularly;;
1240;professeur;teacher;;
1241;participant;participant;;
1242;coalition;coalition;;
1243;secours;relief;;
1244;riche;rich;;
1245;téléphone;phone;;
1246;vent;wind;;
1247;armée;army;;
1248;indépendant;independent;;
1249;marche;walk;;
1250;commenter;comment;;
1251;santer;health;;
1252;mobiliser;mobilize;;
1253;baser;base;;
1254;empêcher;to prevent;;
1255;ballon;ball;;
1256;lettre;letter;;
1257;signaler;report;;
1258;disposition;arrangement;;
1259;passager;passenger;;
1260;criminel;criminal;;
1261;talent;talent;;
1262;assister;to assist;;
1263;arrivée;arrival;;
1264;corée;Korea;;
1265;discuter;discuss;;
1266;épisode;episode;;
1267;déplorer;deplore;;
1268;envisager;consider;;
1269;parlementaire;parliamentary;;
1270;nécessité;need;;
1271;métier;job;;
1272;malheureusement;Unfortunately;;
1273;bloquer;to block;;
1274;noël;Christmas;;
1275;familial;family;;
1276;transporter;carry;;
1277;faute;mistake;;
1278;bois;drink;;
1279;art;art;;
1280;chien;dog;;
1281;global;overall;;
1282;scrutin;ballot;;
1283;identifier;identify;;
1284;scientifique;scientist;;
1285;matériel;material;;
